id	 label
0	4
1	5
2	28
3	8
4	27
5	34
6	6
7	4
8	3
9	28
10	24
11	36
12	28
13	22
14	16
15	33
16	34
17	26
18	24
19	19
20	28
21	14
22	28
23	28
24	27
25	33
26	34
27	28
28	28
29	3
30	4
31	16
32	10
33	8
34	16
35	22
36	0
37	24
38	16
39	26
40	3
41	8
42	20
43	2
44	28
45	22
46	19
47	28
48	18
49	28
50	28
51	38
52	31
53	4
54	28
55	26
56	5
57	28
58	24
59	20
60	9
61	9
62	8
63	5
64	16
65	28
66	9
67	34
68	28
69	5
70	33
71	28
72	28
73	39
74	36
75	16
76	26
77	13
78	28
79	2
80	28
81	36
82	19
83	3
84	24
85	4
86	23
87	11
88	34
89	29
90	28
91	26
92	34
93	33
94	24
95	28
96	0
97	5
98	24
99	28
100	6
101	10
102	31
103	33
104	10
105	28
106	34
107	28
108	27
109	8
110	2
111	28
112	4
113	28
114	23
115	22
116	19
117	26
118	28
119	26
120	8
121	8
122	28
123	16
124	28
125	4
126	34
127	16
128	16
129	10
130	38
131	28
132	28
133	8
134	4
135	14
136	28
137	36
138	38
139	27
140	23
141	38
142	19
143	19
144	11
145	31
146	10
147	26
148	22
149	2
150	23
151	28
152	28
153	2
154	24
155	28
156	28
157	2
158	28
159	23
160	28
161	22
162	4
163	8
164	36
165	28
166	32
167	34
168	8
169	28
170	8
171	28
172	23
173	8
174	5
175	28
176	28
177	34
178	19
179	24
180	19
181	9
182	36
183	32
184	14
185	8
186	1
187	8
188	8
189	28
190	21
191	30
192	2
193	1
194	33
195	7
196	24
197	26
198	23
199	8
200	1
201	39
202	19
203	28
204	34
205	31
206	26
207	26
208	28
209	2
210	39
211	20
212	26
213	3
214	28
215	4
216	24
217	26
218	34
219	6
220	36
221	16
222	28
223	31
224	10
225	22
226	7
227	16
228	28
229	28
230	10
231	39
232	30
233	30
234	30
235	10
236	16
237	2
238	26
239	28
240	28
241	37
242	20
243	22
244	24
245	5
246	10
247	32
248	8
249	34
250	24
251	11
252	28
253	24
254	39
255	33
256	8
257	2
258	26
259	2
260	13
261	28
262	29
263	19
264	8
265	8
266	3
267	27
268	13
269	20
270	13
271	28
272	16
273	27
274	16
275	9
276	28
277	16
278	37
279	28
280	16
281	8
282	28
283	2
284	4
285	16
286	16
287	8
288	3
289	16
290	10
291	28
292	4
293	8
294	4
295	16
296	28
297	16
298	18
299	24
300	28
301	28
302	13
303	24
304	26
305	30
306	28
307	8
308	34
309	31
310	6
311	26
312	24
313	28
314	27
315	34
316	28
317	28
318	34
319	4
320	34
321	16
322	30
323	8
324	28
325	16
326	19
327	4
328	38
329	31
330	5
331	30
332	19
333	24
334	26
335	23
336	30
337	30
338	27
339	16
340	36
341	26
342	8
343	4
344	8
345	28
346	24
347	24
348	19
349	8
350	25
351	28
352	27
353	0
354	30
355	26
356	34
357	19
358	16
359	24
360	8
361	19
362	24
363	28
364	24
365	19
366	16
367	19
368	19
369	16
370	24
371	26
372	24
373	5
374	1
375	26
376	28
377	33
378	34
379	16
380	30
381	24
382	16
383	30
384	30
385	26
386	30
387	28
388	33
389	10
390	28
391	26
392	5
393	26
394	24
395	4
396	4
397	19
398	10
399	28
400	2
401	30
402	22
403	38
404	25
405	28
406	28
407	2
408	24
409	30
410	28
411	4
412	39
413	4
414	4
415	16
416	30
417	16
418	32
419	16
420	26
421	24
422	16
423	20
424	28
425	24
426	28
427	34
428	4
429	16
430	2
431	2
432	5
433	28
434	27
435	2
436	23
437	16
438	8
439	20
440	27
441	22
442	27
443	30
444	19
445	2
446	20
447	10
448	6
449	16
450	29
451	24
452	22
453	24
454	6
455	34
456	26
457	5
458	3
459	30
460	31
461	24
462	24
463	24
464	34
465	16
466	21
467	24
468	28
469	15
470	25
471	16
472	16
473	28
474	8
475	16
476	16
477	30
478	25
479	8
480	4
481	38
482	24
483	4
484	24
485	31
486	30
487	26
488	20
489	19
490	28
491	16
492	8
493	19
494	4
495	23
496	24
497	24
498	16
499	24
500	31
501	28
502	16
503	4
504	26
505	16
506	24
507	4
508	24
509	16
510	24
511	4
512	16
513	4
514	16
515	28
516	2
517	27
518	31
519	24
520	16
521	28
522	31
523	36
524	3
525	5
526	16
527	28
528	16
529	27
530	30
531	24
532	23
533	16
534	28
535	30
536	4
537	16
538	34
539	16
540	16
541	3
542	28
543	16
544	24
545	3
546	16
547	3
548	2
549	26
550	34
551	16
552	16
553	28
554	19
555	30
556	31
557	39
558	16
559	16
560	26
561	28
562	28
563	30
564	24
565	10
566	30
567	24
568	16
569	13
570	24
571	16
572	37
573	30
574	10
575	22
576	16
577	30
578	16
579	24
580	30
581	3
582	3
583	16
584	27
585	24
586	26
587	30
588	16
589	24
590	19
591	10
592	2
593	24
594	22
595	26
596	20
597	24
598	9
599	28
600	24
601	28
602	19
603	5
604	16
605	16
606	24
607	4
608	13
609	10
610	37
611	16
612	28
613	10
614	7
615	30
616	16
617	16
618	31
619	13
620	27
621	2
622	30
623	24
624	19
625	33
626	16
627	27
628	13
629	30
630	30
631	31
632	4
633	39
634	24
635	28
636	2
637	24
638	27
639	16
640	16
641	28
642	36
643	31
644	30
645	16
646	24
647	24
648	24
649	23
650	27
651	10
652	25
653	4
654	13
655	24
656	16
657	4
658	25
659	34
660	16
661	16
662	16
663	24
664	24
665	16
666	18
667	24
668	30
669	24
670	4
671	24
672	16
673	30
674	4
675	16
676	16
677	24
678	16
679	28
680	27
681	26
682	24
683	24
684	5
685	24
686	33
687	16
688	30
689	28
690	16
691	28
692	27
693	16
694	25
695	30
696	9
697	39
698	27
699	8
700	28
701	24
702	31
703	24
704	24
705	28
706	16
707	26
708	19
709	5
710	24
711	24
712	20
713	16
714	16
715	16
716	13
717	34
718	24
719	16
720	16
721	16
722	16
723	24
724	16
725	28
726	18
727	24
728	24
729	16
730	16
731	30
732	19
733	26
734	4
735	28
736	19
737	19
738	16
739	24
740	27
741	6
742	24
743	16
744	4
745	16
746	28
747	5
748	16
749	28
750	16
751	30
752	16
753	16
754	22
755	30
756	16
757	16
758	4
759	24
760	2
761	30
762	16
763	16
764	28
765	24
766	30
767	24
768	16
769	24
770	24
771	16
772	16
773	34
774	16
775	16
776	3
777	30
778	24
779	5
780	39
781	30
782	24
783	34
784	4
785	13
786	24
787	30
788	24
789	38
790	24
791	16
792	24
793	24
794	24
795	24
796	24
797	27
798	24
799	16
800	24
801	16
802	3
803	38
804	30
805	16
806	16
807	26
808	34
809	34
810	28
811	30
812	28
813	28
814	27
815	7
816	10
817	5
818	5
819	20
820	5
821	16
822	10
823	5
824	28
825	26
826	38
827	24
828	30
829	30
830	24
831	5
832	24
833	24
834	7
835	16
836	10
837	14
838	28
839	10
840	10
841	24
842	10
843	30
844	10
845	10
846	4
847	27
848	9
849	28
850	16
851	9
852	34
853	16
854	9
855	16
856	19
857	24
858	34
859	31
860	28
861	3
862	39
863	10
864	16
865	23
866	24
867	21
868	31
869	34
870	29
871	34
872	31
873	28
874	2
875	33
876	26
877	23
878	2
879	30
880	3
881	24
882	16
883	20
884	28
885	28
886	28
887	36
888	8
889	9
890	28
891	10
892	26
893	34
894	28
895	28
896	4
897	6
898	30
899	34
900	19
901	26
902	24
903	24
904	24
905	2
906	31
907	30
908	2
909	16
910	2
911	19
912	34
913	16
914	28
915	9
916	10
917	2
918	2
919	28
920	34
921	16
922	38
923	26
924	20
925	34
926	16
927	24
928	28
929	28
930	30
931	9
932	39
933	9
934	30
935	37
936	23
937	30
938	19
939	28
940	5
941	24
942	16
943	16
944	28
945	5
946	3
947	28
948	24
949	16
950	36
951	16
952	16
953	28
954	34
955	28
956	28
957	16
958	24
959	34
960	20
961	28
962	24
963	31
964	10
965	5
966	16
967	24
968	36
969	39
970	16
971	39
972	3
973	28
974	20
975	28
976	30
977	24
978	24
979	13
980	2
981	28
982	4
983	24
984	16
985	28
986	28
987	27
988	6
989	27
990	28
991	34
992	26
993	2
994	39
995	30
996	6
997	9
998	30
999	19
1000	4
1001	8
1002	24
1003	34
1004	1
1005	28
1006	10
1007	37
1008	18
1009	8
1010	34
1011	10
1012	39
1013	19
1014	34
1015	26
1016	9
1017	7
1018	24
1019	24
1020	4
1021	10
1022	10
1023	8
1024	37
1025	11
1026	10
1027	34
1028	4
1029	28
1030	28
1031	34
1032	34
1033	22
1034	26
1035	10
1036	8
1037	16
1038	27
1039	28
1040	32
1041	16
1042	16
1043	34
